League,Game,StartDate,StartTime,Player,BetLabel,SportsLine_Projection,DK_Line,Outcome1_Label,Outcome1_Odds,Outcome2_Label,Outcome2_Odds,Line2ProjDiff,Outcome1_ImpliedProbability,Outcome2_ImpliedProbability,Bet_Juice,NBA_Stat,BetSuggestion,BetResult,W/L,BetGrade
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Points + Assists + Rebounds,30.300000000000004,33.5,Over,-135,Under,+105,3.1999999999999957,57,49.0,6.0,35.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Rebounds,3.3,2.5,Over,+120,Under,-160,0.7999999999999998,45,62.0,7.0,5.0,Over,Over,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Assists,1.4,0.5,Over,-190,Under,+140,0.8999999999999999,65,42.0,7.0,0.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Points + Assists + Rebounds,23.2,21.5,Over,-130,Under,-105,1.6999999999999993,56,51.0,7.0,19.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Points + Assists,14.5,13.5,Over,+105,Under,-140,1.0,49,58.0,7.0,15.0,Over,Over,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Assists + Rebounds,6.5,5.5,Over,-130,Under,+100,1.0,56,50.0,6.0,3.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Points + Rebounds,20.0,12.5,Over,-130,Under,+100,7.5,56,50.0,6.0,13.0,Over,Over,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Assists + Rebounds,9.9,11.5,Over,-105,Under,-130,1.5999999999999996,51,56.0,7.0,7.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Rebounds,3.1,3.5,Over,+145,Under,-195,0.3999999999999999,41,66.0,7.0,2.0,Under,Under,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Assists,2.5,2.5,Over,+155,Under,-205,0.0,39,67.0,6.0,1.0,Push,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Points + Rebounds,39.2,45.5,Over,-135,Under,+100,6.299999999999997,57,50.0,7.0,42.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Assists + Rebounds,9.7,5.5,Over,+120,Under,-155,4.199999999999999,45,61.0,6.0,8.0,Over,Over,W,B
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Points + Assists,19.2,18.5,Over,+105,Under,-140,0.6999999999999993,49,58.0,7.0,17.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Points + Assists,24.700000000000003,28.5,Over,-130,Under,-105,3.799999999999997,56,51.0,7.0,30.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Points,13.3,23.5,Over,-145,Under,+110,10.2,59,48.0,7.0,20.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Points + Rebounds,30.5,29.5,Over,-105,Under,-130,1.0,51,56.0,7.0,20.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Points,16.9,9.5,Over,-120,Under,-110,7.399999999999999,55,52.0,7.0,11.0,Over,Over,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Assists + Rebounds,3.5,3.5,Over,+140,Under,-185,0.0,42,65.0,7.0,3.0,Push,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Points,16.7,15.5,Over,-140,Under,+105,1.1999999999999993,58,49.0,7.0,16.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Points + Rebounds,21.8,34.5,Over,-110,Under,-120,12.7,52,55.0,7.0,27.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Points + Assists + Rebounds,23.200000000000003,35.5,Over,-110,Under,-120,12.299999999999997,52,55.0,7.0,27.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Points + Assists + Rebounds,11.8,13.5,Over,-135,Under,+100,1.6999999999999993,57,50.0,7.0,9.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Points + Assists + Rebounds,36.4,33.5,Over,-110,Under,-125,2.8999999999999986,52,56.0,8.0,24.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Points + Assists,9.2,3.5,Over,-140,Under,+105,5.699999999999999,58,49.0,7.0,8.0,Over,Over,W,B
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Assists,1.3,0.5,Over,-145,Under,+110,0.8,59,48.0,7.0,0.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Assists + Rebounds,17.4,19.5,Over,-140,Under,+105,2.1000000000000014,58,49.0,7.0,23.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Rebounds,7.2,4.5,Over,+110,Under,-150,2.7,48,60.0,8.0,7.0,Over,Over,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Points + Assists,19.0,11.5,Over,+105,Under,-140,7.5,49,58.0,7.0,12.0,Over,Over,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Rebounds,2.2,2.5,Over,+125,Under,-165,0.2999999999999998,44,62.0,6.0,3.0,Under,Over,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Points,19.6,22.5,Over,-115,Under,-115,2.8999999999999986,53,53.0,6.0,23.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Rebounds,5.0,5.5,Over,-165,Under,+125,0.5,62,44.0,6.0,8.0,Under,Over,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Rebounds,8.5,10.5,Over,-105,Under,-125,2.0,51,56.0,7.0,7.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Points + Assists,9.600000000000001,11.5,Over,+100,Under,-130,1.8999999999999986,50,56.0,6.0,6.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Points + Assists,31.4,27.5,Over,-105,Under,-125,3.8999999999999986,51,56.0,7.0,16.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Assists,5.1,6.5,Over,+125,Under,-165,1.4000000000000004,44,62.0,6.0,7.0,Under,Over,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Points,27.8,34.5,Over,-120,Under,-110,6.699999999999999,55,52.0,7.0,30.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Points + Rebounds,25.200000000000003,27.5,Over,-125,Under,-105,2.299999999999997,56,51.0,7.0,28.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Assists + Rebounds,10.9,9.5,Over,-155,Under,+115,1.4000000000000004,61,47.0,8.0,12.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Assists,5.9,3.5,Over,-175,Under,+130,2.4000000000000004,64,43.0,7.0,4.0,Over,Over,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Stephen Curry,Points,25.5,23.5,Over,+100,Under,-130,2.0,50,56.0,6.0,12.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Rebounds,5.6,5.5,Over,+130,Under,-170,0.09999999999999964,43,63.0,6.0,5.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Points + Assists + Rebounds,22.1,14.5,Over,-105,Under,-125,7.600000000000001,51,56.0,7.0,14.0,Over,Under,L,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Points + Assists,33.8,43.5,Over,-105,Under,-125,9.700000000000003,51,56.0,7.0,41.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Points + Assists + Rebounds,16.4,8.5,Over,+105,Under,-140,7.899999999999999,49,58.0,7.0,15.0,Over,Over,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Points + Assists + Rebounds,45.199999999999996,54.5,Over,-120,Under,-110,9.300000000000004,55,52.0,7.0,53.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Assists,2.1,1.5,Over,+105,Under,-140,0.6000000000000001,49,58.0,7.0,1.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Rebounds,11.4,11.5,Over,+100,Under,-130,0.09999999999999964,50,56.0,6.0,12.0,Under,Over,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Assists,2.5,0.5,Over,-170,Under,+125,2.0,63,44.0,7.0,1.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Points,6.7,2.5,Over,-160,Under,+120,4.2,62,45.0,7.0,7.0,Over,Over,W,B
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Kevon Looney,Points + Rebounds,13.9,7.5,Over,+105,Under,-140,6.4,49,58.0,7.0,14.0,Over,Over,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Giannis Antetokounmpo,Assists,6.0,8.5,Over,-115,Under,-115,2.5,53,53.0,6.0,11.0,Under,Over,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Points + Rebounds,10.5,12.5,Over,-155,Under,+115,2.0,61,47.0,8.0,9.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Rebounds,2.5,4.5,Over,-110,Under,-125,2.0,52,56.0,8.0,2.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Assists,2.5,2.5,Over,-120,Under,-110,0.0,55,52.0,7.0,1.0,Push,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Points + Assists + Rebounds,8.6,12.5,Over,-120,Under,-110,3.9000000000000004,55,52.0,7.0,5.0,Under,Under,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Points + Assists,6.1,7.5,Over,-155,Under,+120,1.4000000000000004,61,45.0,6.0,3.0,Under,Under,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Assists + Rebounds,5.0,7.5,Over,+110,Under,-145,2.5,48,59.0,7.0,3.0,Under,Under,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Points + Rebounds,6.1,9.5,Over,-145,Under,+110,3.4000000000000004,59,48.0,7.0,4.0,Under,Under,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Rebounds,2.7,1.5,Over,-130,Under,-105,1.2000000000000002,56,51.0,7.0,3.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Points,14.1,14.5,Over,-135,Under,+105,0.40000000000000036,57,49.0,6.0,9.0,Under,Under,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Points + Assists,17.4,16.5,Over,-140,Under,+105,0.8999999999999986,58,49.0,7.0,9.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Points + Rebounds,16.8,16.5,Over,-125,Under,-105,0.3000000000000007,56,51.0,7.0,12.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Points + Assists + Rebounds,20.099999999999998,18.5,Over,-125,Under,-105,1.5999999999999979,56,51.0,7.0,12.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Assists,3.3,1.5,Over,-185,Under,+135,1.7999999999999998,65,43.0,8.0,0.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Poole,Assists + Rebounds,6.0,3.5,Over,-130,Under,+100,2.5,56,50.0,6.0,3.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Points + Rebounds,12.899999999999999,10.5,Over,-135,Under,+105,2.3999999999999986,57,49.0,6.0,8.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Points + Assists,9.6,8.5,Over,+105,Under,-140,1.0999999999999996,49,58.0,7.0,6.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Rebounds,4.8,5.5,Over,+105,Under,-140,0.7000000000000002,49,58.0,7.0,5.0,Under,Under,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Points + Assists + Rebounds,14.399999999999999,13.5,Over,-130,Under,+100,0.8999999999999986,56,50.0,6.0,11.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Assists + Rebounds,6.3,8.5,Over,+105,Under,-140,2.2,49,58.0,7.0,8.0,Under,Under,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Pat Connaughton,Points,8.1,5.5,Over,+100,Under,-135,2.5999999999999996,50,57.0,7.0,3.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Assists + Rebounds,5.4,3.5,Over,-135,Under,+105,1.9000000000000004,57,49.0,6.0,8.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Points + Assists + Rebounds,14.4,10.5,Over,-130,Under,+100,3.9000000000000004,56,50.0,6.0,14.0,Over,Over,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Points + Assists,10.0,7.5,Over,-115,Under,-115,2.5,53,53.0,6.0,7.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Rebounds,4.4,3.5,Over,+140,Under,-190,0.9000000000000004,42,65.0,7.0,7.0,Over,Over,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Points + Rebounds,13.4,10.5,Over,+110,Under,-150,2.9000000000000004,48,60.0,8.0,13.0,Over,Over,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Jordan Nwora,Points,9.0,6.5,Over,-150,Under,+115,2.5,60,47.0,7.0,6.0,Over,Under,L,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andre Iguodala,Points,3.6,5.5,Over,+110,Under,-150,1.9,48,60.0,8.0,2.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Points + Rebounds,26.0,26.5,Over,-110,Under,-120,0.5,52,55.0,7.0,32.0,Under,Over,L,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Points + Assists,24.5,26.5,Over,-115,Under,-115,2.0,53,53.0,6.0,34.0,Under,Over,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Rebounds,4.9,3.5,Over,-165,Under,+125,1.4000000000000004,62,44.0,6.0,2.0,Over,Under,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Assists + Rebounds,8.3,8.5,Over,+105,Under,-135,0.1999999999999993,49,57.0,6.0,6.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Assists,3.4,4.5,Over,+125,Under,-170,1.1,44,63.0,7.0,4.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Points,21.1,22.5,Over,-105,Under,-125,1.3999999999999986,51,56.0,7.0,30.0,Under,Over,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Points + Assists + Rebounds,8.6,10.5,Over,-110,Under,-120,1.9000000000000004,52,55.0,7.0,5.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Points + Rebounds,7.800000000000001,9.5,Over,+105,Under,-135,1.6999999999999993,49,57.0,6.0,5.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Points + Assists,7.2,8.5,Over,-105,Under,-125,1.2999999999999998,51,56.0,7.0,5.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Assists,0.8,1.5,Over,+155,Under,-215,0.7,39,68.0,7.0,0.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Points,6.4,7.5,Over,+110,Under,-150,1.0999999999999996,48,60.0,8.0,5.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Points + Rebounds,29.1,28.5,Over,-120,Under,-110,0.6000000000000014,55,52.0,7.0,24.0,Over,Under,L,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Assists,7.7,9.5,Over,-110,Under,-120,1.7999999999999998,52,55.0,7.0,9.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Assists + Rebounds,12.8,15.5,Over,-140,Under,+105,2.6999999999999993,58,49.0,7.0,17.0,Under,Over,L,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Kyle Anderson,Assists,3.4,2.5,Over,-115,Under,-115,0.8999999999999999,53,53.0,6.0,3.0,Over,Over,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jarred Vanderbilt,Assists,1.4,1.5,Over,+160,Under,-215,0.10000000000000009,38,68.0,6.0,0.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jarred Vanderbilt,Points + Assists,7.4,11.5,Over,-130,Under,+100,4.1,56,50.0,6.0,8.0,Under,Under,W,B
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Kyle Anderson,Points + Assists,13.6,14.5,Over,-130,Under,+100,0.9000000000000004,56,50.0,6.0,9.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Anthony Edwards,Points + Assists + Rebounds,29.4,30.5,Over,-120,Under,-110,1.1000000000000014,55,52.0,7.0,36.0,Under,Over,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Points,24.0,22.5,Over,-110,Under,-125,1.5,52,56.0,8.0,16.0,Over,Under,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Points + Assists,31.7,31.5,Over,-125,Under,-105,0.1999999999999993,56,51.0,7.0,25.0,Over,Under,L,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Assists + Rebounds,2.2,3.5,Over,+120,Under,-160,1.2999999999999998,45,62.0,7.0,0.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jaren Jackson Jr.,Assists + Rebounds,6.9,8.5,Over,-140,Under,+105,1.5999999999999996,58,49.0,7.0,6.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jaren Jackson Jr.,Assists,1.4,1.5,Over,+180,Under,-245,0.10000000000000009,36,71.0,7.0,1.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ziaire Williams,Rebounds,1.4,1.5,Over,-195,Under,+145,0.10000000000000009,66,41.0,7.0,0.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Ja Morant,Points + Assists + Rebounds,36.8,38.5,Over,-105,Under,-125,1.7000000000000028,51,56.0,7.0,33.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Patrick Beverley,Assists,4.0,6.5,Over,-115,Under,-115,2.5,53,53.0,6.0,6.0,Under,Under,W,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Patrick Beverley,Assists + Rebounds,8.2,10.5,Over,+110,Under,-145,2.3000000000000007,48,59.0,7.0,14.0,Under,Over,L,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jarred Vanderbilt,Assists + Rebounds,9.9,12.5,Over,-120,Under,-110,2.5999999999999996,55,52.0,7.0,13.0,Under,Over,L,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Karl-Anthony Towns,Points + Assists,27.0,28.5,Over,-125,Under,-105,1.5,56,51.0,7.0,28.0,Under,Under,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Patrick Beverley,Points + Assists,12.1,14.5,Over,-125,Under,-105,2.4000000000000004,56,51.0,7.0,9.0,Under,Under,W,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Patrick Beverley,Rebounds,4.2,3.5,Over,-105,Under,-125,0.7000000000000002,51,56.0,7.0,8.0,Over,Over,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Kyle Anderson,Rebounds,6.6,5.5,Over,+125,Under,-165,1.0999999999999996,44,62.0,6.0,6.0,Over,Over,W,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Kyle Anderson,Points,10.2,12.5,Over,+110,Under,-145,2.3000000000000007,48,59.0,7.0,6.0,Under,Under,W,C
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jarred Vanderbilt,Points,6.0,10.5,Over,-115,Under,-115,4.5,53,53.0,6.0,8.0,Under,Under,W,B
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Kyle Anderson,Points + Rebounds,16.799999999999997,17.5,Over,+100,Under,-130,0.7000000000000028,50,56.0,6.0,12.0,Under,Under,W,F
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jaren Jackson Jr.,Points,17.4,18.5,Over,+100,Under,-135,1.1000000000000014,50,57.0,7.0,20.0,Under,Over,L,D
NBA,MIN Timberwolves @ MEM Grizzlies,"Thu, Jan 13",08:10 PM,Jaren Jackson Jr.,Points + Rebounds,22.9,25.5,Over,-130,Under,+100,2.6000000000000014,56,50.0,6.0,25.0,Under,Under,W,C
